Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned|Terracidiphilus	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190367409099562	0.0456495937186159	0.0181867782122397	0.0177257821501374	0	0	0.0168534591724952	0.0268720888570405	0	0.00835561497326203	0.008587376556462
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.0279095729835334	0.0347192084020484	0.0154942671211652	0.0160025604096655	0	0	0.102116598588934	0.0380734818199124	0.0273897562311695	0.0181867782122397	0.0443144553753434	0.0479662317728319	0.0172057811424639	0.0252801887587427	0.0268720888570405	0.00865950813993765	0.0167112299465241	0.04293688278231
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Luteitalea	0.00930319099451112	0.0433990105025605	0.0232414006817478	0	0.0227135069654755	0.0419322375041932	0.185666542888971	0.0571102227298686	0.0273897562311695	0.0181867782122397	0.124080475050962	0.10552570990023	0.0774260151410874	0.0758405662762282	0.0985309924758151	0.0173190162798753	0.0250668449197861	0.04293688278231
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter	0.0186063819890222	0.0607586147035848	0.00774713356058258	0.00800128020483277	0.00757116898849182	0.0167728950016773	0.241366505755663	0.085665334094803	0.0912991874372318	0.0545603346367191	0.194983603651511	0.268610897927859	0.129043358568479	0.0421336479312379	0.134360444285202	0.0865950813993765	0.0334224598930481	0.051524259338772
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Acidiferrimicrobium	0.130244673923156	0.0520788126030726	0.0154942671211652	0.0640102416386622	0.0302846759539673	0.0335457900033546	0.204233197177869	0.104702075004759	0.100429106180955	0.100027280167318	0.13294336612603	0.143898695318496	0.0688231245698555	0.0674138366899806	0.0895736295234683	0.155871146518878	0.0835561497326203	0.103048518677544
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola	0.325611684807889	0.546827532332263	0.534552215680198	0.360057609217475	0.348273773470624	0.452868165045287	0.891199405867063	0.75195126594327	0.538665205879668	0.572883513685551	0.646991048480014	0.700306983883346	0.567790777701308	0.58987107103733	0.788247939806521	0.450294423276758	0.501336898395722	0.437956204379562
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas	0.130244673923156	0.104157625206145	0.092965602726991	0.0720115218434949	0.0681405208964264	0.0670915800067092	0.315633122911251	0.0951837045497811	0.0821692686935086	0.136400836591798	0.141806257201099	0.23983115886416	0.0946317962835513	0.109547484621219	0.0806162665711215	0.0952545895393142	0.0919117647058823	0.111635895234006
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned|Unassigned	0.0186063819890222	0.0347192084020484	0.00774713356058258	0.0240038406144983	0.0227135069654755	0.0335457900033546	0.0278499814333457	0.00951837045497811	0.0456495937186159	0.0272801673183596	0.0797660196756182	0.0671527244819647	0.0430144528561597	0.0337069183449903	0.0358294518093873	0.0432975406996883	0.00835561497326203	0
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae|Cryptosporangium	0.0837287189506001	0.190955646211266	0.0619770684846607	0.0320051208193311	0.0151423379769836	0.0754780275075478	0.0556999628666914	0.0951837045497811	0.0456495937186159	0.136400836591798	0.0620402375254808	0.0959324635456638	0.120440467997247	0.0505603775174855	0.0447868147617341	0.121233113959127	0.100267379679144	0.051524259338772
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia	0.0279095729835334	0.0520788126030727	0.0154942671211652	0.0240038406144983	0.0151423379769836	0.0251593425025159	0.0556999628666914	0.0951837045497811	0.0821692686935086	0.0363735564244794	0.0531773464504121	0.10552570990023	0.0688231245698555	0.00842672958624758	0.0358294518093873	0	0.0334224598930481	0.04293688278231
